Nama_Obat;HPP;Stock
MAKARIZO HAIR FRAGRANCE OCEAN BREEZE 100ML;23.800,00;4,00
FISHERMAN FRIEND HONEY LEMON SF;16.681,18;4,00
HANSAPLAST AQUA PROTECT XXL;57.600,12;0,00
ETADEXTA KAPLET;594,00;0,00
FATIGON HYDRO COCO 330 ML ORIGINAL;7.659,00;0,00
LIFREE CELANA TIPIS L1;5.697,63;8,00
DETTOL SENSITIVE WIPE 10 SACHET;11.258,79;0,00
FIESTA ULTRA THIN @12;49.284,00;1,00
FAMILY DR KNEE BASIC;133.200,00;0,00
LISTERINE SAKURA PEACH ZERO 250ML;21.145,50;2,00
MITU BABY AS GREEN WIPES 10S;6.105,00;0,00
MASKER KARET HITAM ECER;5.000,00;0,00
NUFACE SUN SHIELD SERUM SPF 50;105.900,01;2,00
CBD COLOR SHIELD SHAMPO 250ML;40.900,17;3,00
BALI DANCE MASSAGE OIL LAVENDER;43.799,49;3,00
SUNSILK CONF SOFT N SMOOTH 70ML;15.700,00;0,00
CUSSON BABY WIPES SOFT & SMOOTH @45 SHT;6.666,00;0,00
NICORETTE FRESHMINT GUM 2 MG;59.940,00;3,00
SISIR RAMBUT ANTI KUSUT;13.085,00;0,00
MADU ENAK PREMIUM PLUS 150 GR;21.850,00;0,00
BALI DANCE AROMATHERPY GREENTEA 10 ML;44.799,60;2,00
BACTODERM CR 10GR;74.259,00;10,00
SOYJOY LEKKER N NUTS;8.378,00;0,00
NYU CREME HC NAT BROWN CREME;14.300,00;0,00
ADAPTER KEPALA CHARGER ROBOT;6.789,00;0,00
CAP LANG EUCALYPTUS SPRAY 72ML;83.489,00;0,00
TIMBANGAN BADAN ELEGANT ONEMED;300.000,00;1,00
ASEPSO + SOAP CLEAN BLUE 80GR;7.849,92;0,00
ASEPSO + SOAP FRESH ORANGE 80G;7.849,92;0,00
MAMY POKO PANTS STD XL@7;18.199,56;4,00
SOFFEL SPRAY B.GERANIUM 80 REF;13.109,10;0,00
NESTLE PURELIFE 1500ML;1.999,99;48,00
ULTRA MILK 200ML FULL CREAM;4.791,66;0,00
PANTENE COND PROTEC CARE 45ML;15.800,00;0,00
DODO COTTON BUDS 133;7.000,00;0,00
SOFFEL LOT B.GERANIUM 50GR;9.679,00;0,00
ATARAX TAB 1 MG @100;3.984,90;310,00
ZOL 10 MG;18.500,00;0,00
ZOLTA 10MG;7.770,00;10,00
MERLOPAM 2 MG TAB @100;4.440,00;0,00
VALISANBE 5MG TAB@100;10.000,00;0,00
DOLGESIK 50MG @50;2.808,30;0,00
VAL 5 MG;13.000,00;360,00
VALDIMEX 5MG TAB@100 ASK;1.365,30;470,00
ATAR 1 MG;13.500,00;0,00
PROHIPER 10MG;11.395,99;230,00
VALDIMEX 5MG TAB@100 ASK;1.221,00;0,00
ALPRAZ 1 MG;5.000,00;0,00
VALI 5 MG;12.000,00;0,00
MERLO 2MG TAB@100;4.107,00;0,00
ZEPH 50MG;10.000,00;0,00
ALGA1MG TAB@40;5.994,00;0,00
TRANSPULMIN KIDS 20GR;67.710,00;0,00
OBAT BATUK IBU & ANAK 75ML;30.192,00;2,00
BETADINE 10% OINT 10GR;24.098,10;2,00
CAP LANG M TELON  30ML;9.064,82;2,00
PEPSODENT WHITENING 190GR;15.419,00;0,00
FLEET ENEMA LIQ 133ML;113.775,00;0,00
HANSAPLAST SALEP LUKA 20 G;41.625,00;3,00
INSTO ED  7.5ML;13.630,80;4,00
MEDICATED OIL 12 ML;20.812,00;3,00
M RATU M ZAITUN 75 ML;17.700,00;0,00
BEROCCA CALCIUM EFF TAB@10;34.127,50;0,00
ALKOHOL 70% 300ML MEDIKA;15.098,22;4,00
ALBOTHYL SOL CONC   5ML;25.530,00;0,00
LISTERINE SIWAK 100ML;9.213,00;0,00
COOLING 5 CAPPUCINO;36.585,00;0,00
CAP LANG MKP PLUS 30 ML;10.499,93;0,00
Y-RINS 12ML;18.315,00;3,00
ONEMED THERMO DIGIT ONE ALPHA 3;23.499,81;0,00
SUNSILK SOFT & SMOOTH 70ML;13.400,00;0,00
NATESH PANTYLINERS;33.990,00;0,00
ACTIFED (MERAH) COUGH DM SYR  60ML;58.164,00;2,00
IMBOOST TAB@50;3.545,34;0,00
RENAX 700MG CAP@50;502.275,00;0,00
EKACETOL FORTE 650 MG TAB @100;888,00;180,00
FORMULA SG RIPPLE SOFT;3.300,00;0,00
BODREX EXTRA KPL@100;537,50;372,00
ACTIFED ( HIJAU)PLUS EXP SYR @25 ML;24.753,00;3,00
WOMAN CHOISCE COMPACT;30.800,00;0,00
CAP LANG M ANGIN 12ML;17.760,00;1,00
KLIP PLASTIK 10 X 7;77,00;200,00
OBAT BATUK IBU & ANAK 150ML;53.946,00;2,00
PRAXION SYR 60ML JERUK;26.295,00;3,00
COCA COLA 330ML KLG;5.833,00;23,00
CDR EFF @15 ORANG;71.341,00;0,00
RIVANOL MEDIKA 100ML;4.620,93;3,00
PLANTACID FORTE TAB@100;1.028,00;30,00
FEMINAX TAB@200;827,17;184,00
INSTO DRY EYES ED 7.5ML;14.353,41;3,00
MEDICATED OIL 40 ML;42.499,00;2,00
COUNTERPAIN COOL 15GR;24.753,00;3,00
MINYAK TAWON (FF);65.824,00;2,00
LISTERINE COOLMINT  100ML;8.380,50;0,00
COOLING 5 SPRAY 1.4% 15ML;35.520,00;3,00
GELIGA BALSEM 40GR;16.350,30;5,00
POT PLASTIK  50GR;1.332,00;0,00
THROMBO ASPILETS 80MG TAB@150;964,00;0,00
CALLUSOL LOT 10ML;31.080,00;2,00
ACTIFED (HIJAU) PLUS EXP) SYR  60ML;24.753,00;0,00
IMBOOST FORCE TAB@30;6.909,35;0,00
SUTRA OK KONDOM@24;48.334,00;2,00
VITABUMIN;56.508,00;0,00
BODREX MIGRA KPL@100;604,73;272,00
BEAR BRAND 189ML;9.801,30;25,00
SELSUN GOLD 120 ML;50.449,00;1,00
SENSODYNE WHITENING;44.844,00;0,00
KLIP PLASTIK 15 X 10 CTK BWH;139,00;100,00
MYLANTA TAB@100;868,02;130,00
LISTERINE ZERO 250 ML;21.145,50;1,00
MICROLAX ENEMA @3;58.830,00;0,00
NEO ENTROSTOP TAB@144;823,00;80,00
PAMOL 500MG TAB@100;1.080,00;160,00
NEO RHEUMACYL TAB@20;8.798,14;25,00
MEDICATED OIL 20 ML;29.137,00;3,00
SUMAGESIC 600MG TAB@100;631,59;76,00
WOODS COUGH EXP SYR 100ML;34.499,91;0,00
KOOL FEVER ANAK @6;6.399,98;0,00
MINYAK TAWON (EE);46.595,00;0,00
ANTANGIN JUNIOR 10 ML;10.700,40;0,00
LISTERIN ZERO 100ML;8.380,50;0,00
SALEP KULIT 88  6GR;12.339,00;0,00
POT PLASTIK 20GR;832,50;0,00
LISTERINE COOLMINT 250ML;21.145,50;3,00
DERMACOID CR;75.091,50;2,00
CETAPHIL GENTLE SKIN CLEANSER 236 ML;121.425,12;0,00
LISTERINE ORIGINAL 250ML;21.145,50;1,00
ROHTO TM 7 ML;12.137,85;4,00
WELLNESS EXCELL-C 500 MG @60;235.000,00;0,00
ASPILETS 100MG TAB@100;677,10;0,00
LAXING 10 X 10 KAPSUL;1.014,00;80,00
ALERZIN 10MG TABLET;122,00;0,00
HEROCYN BEDAK 85GR;12.654,00;1,00
MASKER N95 ONEMED;605.000,00;2,00
HOT IN GO 100GR;30.754,00;2,00
ENERVON ACTIVE TAB@30;36.352,00;0,00
LARUTAN KAKI 3 200ML PLASTIK;3.170,00;0,00
SENSODYNE FRESHMIN 100GR HIJAU;28.971,00;0,00
KLIP PLASTIK 13 X 8.7 CTK BWH;103,00;200,00
MYLANTA SYR 50ML;15.961,80;5,00
CAP LANG MKP 210ML;67.150,56;1,00
ZINC PRO SYR 60ML;37.740,00;0,00
LISTERINE MULTI PROTECT GREEN TEA 100ML;9.213,00;0,00
MICROLAX ENEMA 5ML;21.867,00;1,00
ANTIMO ANAK SACH@10;1.165,00;0,00
PROCOLD TAB@144;722,22;72,00
SD COTTON BUD DWS TABUNG;8.325,00;0,00
SUTRA KONDOM@3;5.994,00;25,00
SELSUN YELLOW 60ML;34.965,00;0,00
MINYAK TAWON (DD);29.611,00;0,00
LISTERIN GREEN TEA 100ML;9.213,00;0,00
KALPANAX SALEP 6GRAM;8.120,00;0,00
TONIKUM BAYER LIQ. 330ML;30.265,00;0,00
POT PLASTIK 30GR;832,50;0,00
LAXADINE SYR 60ML;52.658,40;1,00
ONEMED VERBAN 10CM;3.096,90;75,00
HANSAPLAST AMPLOP 10'S;6.388,05;28,00
STERIMAR BABY NOSE HYGIENE @50ML;148.400,00;1,00
NATRACARE ORG TAMPONS SUPER @20;147.290,00;3,00
CAP LANG M SEREH SITRONELA 60M;9.699,18;2,00
HOT IN GO STRONG 100GR;30.754,00;5,00
ENERVON C TAB@ 30;35.672,00;0,00
CAREPLUS HIFRESH WASHLAP @10;17.760,00;0,00
PLOSSA ALL VARIANT;10.342,98;26,00
MINOSEP OBAT KUMUR HIJAU 150 ML 0,1 %;43.445,00;0,00
SENSODYNE ORIGINAL 100GR;30.525,00;0,00
HALMEZIN SYR 100ML;31.968,00;2,00
WOODS COUGH ATT SYR  60ML;24.795,00;2,00
MYLANTA SUSP 150ML;42.879,30;3,00
NATRACARE ORG TAMPONS REGULAR @10;92.905,00;2,00
VIGEL 2 IN 1;45.812,00;1,00
DEGIROL LOZ@100;1.273,17;40,00
COUNTERPAIN CR 5GR;8.547,00;0,00
INAFITO BODYSLEM 30'S;195.000,00;0,00
SUTRA KONDOM@12;21.478,50;9,00
PROCOLD FLU BATUK TABLET @144;833,33;84,00
ALKOHOL 70% 100ML ONEMED;8.325,00;0,00
SANGOBION CAPS;1.994,83;70,00
LISTERINE TARTAR CONTROL 250ML;23.254,50;2,00
PEDIALYTE 500ML B.GUM(PINK);39.516,00;1,00
SELSUN GOLD 60 ML;31.468,50;0,00
KLARENS HS PINK ROSE 60ML;18.870,00;0,00
CAP LANG M TELON 100ML;26.391,00;2,00
LISTERIN FRESHBURST 100ML;8.380,50;1,00
DIAGIT TAB@100;3.441,00;100,00
SCABIMITE LOTION;23.698,50;0,00
LAXADINE SYR 110ML;67.177,20;1,00
GOLDEN GINGER CANDY JAHE KOPI @150G;33.985,00;0,00
SOS PEMBERSIH LANTAI 450ML;17.000,00;2,00
LISTERINE FRESH CITRUS 250ML;21.145,50;2,00
NATRACARE ORG TAMPONS REGULAR @20;139.359,00;3,00
GELIGA KRIM OTOT 60GR;14.799,63;3,00
VITALONG C+ZINC @30;47.730,00;0,00
HIT AEROSOL ORANGE 200 ML;18.500,00;0,00
MINOSEP 0.2% GARGLE MERAH 150ML;62.881,00;0,00
CALADINE PWD 100GR;16.305,90;0,00
NATRACARE ORG TAMPONS SUPER @10;99.137,00;2,00
FRESH CARE SANDAL WOOD;12.831,60;0,00
COUNTERPAIN PXM 25GR;94.988,25;1,00
INAFITO INAVISION 30'S;195.000,00;2,00
STERIMAR NASAL HYGIENE ISOTONIC 50 ML;136.955,00;0,00
FATIGON HYDRO VITA-D 330ML;8.713,50;0,00
PEDITOX LOT 50ML;9.921,18;3,00
SELSUN BLUE SUSP 60ML;28.811,00;0,00
CAP LANG M TELON  60ML;15.909,63;2,00
CAP LANG BALM 20GR AROMATIC SOOTHING;8.600,06;6,00
LACTO-B SACH@40;8.533,13;10,00
 COTTON BUD@ 9128 REFF 100;4.440,00;0,00
GOLDEN GINGER SUGAR FREE ANISEMINT;34.104,00;0,00
BETADINE THROAT SPRAY;109.890,00;0,00
COUNTERPAIN COOL 120GR;101.898,00;2,00
POLIDENT FLAVOUR FREE 60 GR;79.476,00;0,00
LISTERINE GREEN TEA 250 ML;23.255,61;3,00
GELIGA KRIM OTOT 30GR;9.563,76;0,00
AQUA MARIS BABY NASAL SPRAY 50 ML;134.310,00;0,00
ORALIT SACH@100 GKF;450,00;0,00
HOT IN CREAM AROMATHERAPY TUBE 120 GR;33.300,00;0,00
DODO COTTON BUD CD 136@100;9.900,00;0,00
YOU C 1000 APPLE VITAMIN 140 ML;5.494,50;6,00
LACTULAX SYR 120ML;75.915,00;0,00
PRORIS FORTE SYR 60ML;31.168,80;0,00
COUNTERPAIN CR  15GR;26.946,36;4,00
COVID TEST;33.633,00;0,00
RENU FRESH 355ML;71.040,00;0,00
NIVEA SUN WITH OIL CONTROL SPF;57.720,00;2,00
KANNA SOFT KRIM LEMBUT 30GR;19.600,38;2,00
PAK OLES M BOKASHI 35ML;49.955,00;2,00
FATIGON HYDRO COCO 250ML ORIGINAL;5.994,00;16,00
FRESH CARE SPASH FRUIT;12.831,60;3,00
PARATUSIN TAB@ 200;1.513,45;120,00
ZAMBUK 8 GR;16.206,00;1,00
TEMPRA FORTE STRAW SYR 60ML;47.286,00;0,00
DUREX VIBRATIONS RING 1;112.019,00;0,00
CENDO CENFRESH MD ED;25.530,00;0,00
CAP LANG BALM 40GR AROMATIC SOOTHING;16.799,85;4,00
ALKOHOL 70% 100ML AFIFARMA;6.421,35;5,00
MEDISOFT COTTON BALLS;8.750,13;0,00
CALADINE LOT 95ML;23.576,40;0,00
RIVANOL 0.1% 300ML PIM;13.210,11;3,00
NOURISH ACNE PLAST BOY;15.540,00;0,00
SALONPAS PAIN RELIEF PATCH @3;16.689,00;0,00
BETADINE COLD DEFENCE NASAL SPRAY;142.912,00;0,00
ELLIPS HAIR VIT SHINY BLACK@50;79.600,32;8,00
HEROCYN BEDAK BABY 200GR;13.764,00;0,00
LISTERINE FRESHBURST 250ML;21.145,50;2,00
KOMIX HERBAL ORIGINAL SACH;1.666,67;6,00
ONEMED ALKOHOL 95% 100ML;6.845,37;0,00
ANORAL ANLIQ 30'S KAPS;188.125,00;0,00
TONGKAT KETIAK M GEA;254.751,00;0,00
CAP LANG M SEREH SITRONELA 30M;5.599,95;3,00
NATUR E ADVANCED @32 CAP;70.406,00;0,00
LASERIN SACH 15ML;2.018,00;0,00
WOODS COUGH EXP SYR  60ML;24.795,00;3,00
DERMATIX WOUND CARE 20 GR;87.412,50;2,00
VIGEL GEL 30GR;17.193,90;2,00
L-BIO SACH@30;10.289,00;0,00
VICKS VAP 50GR;37.609,02;0,00
PHAROLIT 5.8GR SACH@60;1.600,24;180,00
COUNTERPAIN CR 30GR;41.403,00;2,00
TOLAK ANGIN CARE AROMATHERAPY;11.943,60;0,00
KANNA WHITE 30GR;22.249,00;0,00
PAK OLES M BOKASHI 12ML;25.750,00;3,00
FRESH CARE SMASH 8 ML;12.831,60;0,00
OBH COMBI B.FLU 100ML MENTHOL;18.592,00;0,00
PASEO SOFT PACK SINGLE@250;18.037,50;0,00
CALADINE CR 15GR;7.326,00;0,00
CAP LANG BALM AKTIV 40GR;13.801,00;4,00
VOLTAREN EMULGEL 50GR;202.686,00;1,00
COTTON BUDS SELECTION@100;3.799,53;0,00
INACOS CALENDULA @75G;185.000,00;11,00
CALADINE LOT 60ML;16.749,90;3,00
CALADINE PWD  60GR;12.309,90;0,00
BEPANTHEN SALEP BAYI 20GR;68.431,50;6,00
CAVIPLEX KPL@100;777,00;0,00
SALONPAS PAIN RELIEF PATCH 5'S;25.020,51;4,00
ELLIPS HAIR VIT SHINY BLACK@6;10.180,17;20,00
RENU WETT DROP 8ML;42.180,00;1,00
FIESTA LUBRICANT GEL 50ML MERAH/BIRU;29.970,00;0,00
NELSONS CALENDULA 50G;222.000,00;0,00
ZINCPRO DROP;31.857,00;2,00
ONEMED ALKOHOL 70% 100ML;4.899,54;0,00
GPU CREAM SEREH 60 GR;8.104,39;8,00
"NATUR E NOURISHING 300 IU 32""S";63.969,00;0,00
QUIXX SORE THROAT SPRAY;89.645,00;0,00
PEPSODENT PENCEGAH GIGI BERLUBANG 120GR;10.000,00;1,00
CENDO CATARLENT ED 15ML;33.993,00;0,00
COUNTERPAIN CR 60GR;72.150,00;2,00
SANMOL FORTE 650MG@100;610,50;88,00
VIGEL GEL 60GR;29.279,00;0,00
ALOCLAIR GEL 8ML;97.680,00;3,00
SENSODYNE REPAIR & PROTECT 100 GR;38.517,00;0,00
PROMAG DOUBLE ACTION TAB@6;1.951,00;0,00
SOFFEL SPRAY B.GERANIUM 80ML;14.163,60;18,00
HANSAPLAST MICKEY @10'S;11.325,33;14,00
MINYAK KUTUS KUTUS;100.000,00;0,00
HANSAPLAST ANTISEPTIK LUKA SPRAY 40 ML;27.387,03;1,00
WOODS COUGH ATT SYR 100ML;34.499,91;0,00
CLARITIN OTC @5 TAB;48.951,00;0,00
DETTOL LIQ 100ML;24.338,97;1,00
ARM SLING DEWASA L (HORGI);129.315,00;0,00
VICKS VAP 25 GR;20.059,92;2,00
LISTERINE MULTI PROTECT GREEN TEA 250ML;23.254,50;1,00
CALADINE MOSQUITO REP. 100 ML;32.515,00;2,00
CAP LANG GPU 30ML;8.800,08;0,00
POLIDENT FLAVOUR FREE 20 GR;33.078,00;0,00
XILERGI SYR 60ML;9.990,00;0,00
SALONPAS KOYO SUPER 5X2 PUTIH;6.984,12;46,00
FITA JOINT ROLLER GEL 30 GR;83.250,00;3,00
ELLIPS HAIR VIT NUTRICOLOR @50;74.241,79;5,00
RENU COLOUR;68.820,00;0,00
FIESTA STRAW KONDOM@12;42.957,00;4,00
EVIAN NAT. MINERAL WATER 50 ML;139.000,00;0,00
PRAXION DROP 15ML;29.725,00;1,00
NEO HORMOVITON SAC 15 ML@5;2.500,00;0,00
GPU CREAM SEREH 150 GR;15.592,45;4,00
NATUR E SOFTCAP@ 32;30.525,00;0,00
QUIXX SORE THROAT SPRAT KIDS;65.479,00;0,00
ANTANGIN MINT+MADU SST ISI 12;2.900,00;0,00
BANANA B DEEP TANNING OIL SPF 2 @236ML;122.569,00;3,00
SANMOL 500MG TAB@100;531,69;148,00
BUFADOL 650 MG TAB @100;832,50;0,00
VICKS INHALER TWIN;33.586,38;0,00
VIGEL TIGHT 50 GR;29.970,00;0,00
COUNTERPAIN CR 120 GR NEW;108.464,76;2,00
HOT IN DCL 60 GR;22.422,00;4,00
SOFFEL SPRAY KULIT JERUK 80ML;14.173,59;0,00
ALKOHOL 70% 100ML MEDIKA;6.105,00;0,00
VICKS INHALER;19.147,50;7,00
INTERZINC SYR 60 ML;58.275,00;2,00
TEMPRA SYR 100ML;56.021,00;0,00
FRESH CARE MINYAK KAYU PUTIH 10ML;13.216,00;0,00
JOINT FIT EXTRA ROLLER GEL 30 GR;66.544,50;4,00
DETTOL LIQ  50ML;12.023,52;3,00
NEW DIATAB TAB@100;694,87;236,00
MEDISOFT COTTON BALL@120;10.918,00;2,00
VICKS VAP 10GR;8.471,52;5,00
HOT IN CREAM AROMATHERAPY TUBE 60 GR;19.980,00;0,00
CAP LANG GPU 60ML;15.759,78;4,00
IMBOOST FORCE KIDS 60ML;67.169,43;0,00
LISTERINE FRESHBURST 80ML;8.380,50;1,00
PROMAG SUSPENSI @6 10ML;2.058,31;0,00
XILERGI TAB@6;703,00;0,00
SALONPAS KOYO HOT @5 X 2 MERAH;6.984,12;42,00
BETADINE 10% SOL  60ML;45.921,81;1,00
ELLIPS HAIR VIT NUTRICOLOR@6;10.741,75;5,00
EVIAN NAT. MINERAL WATER 150 ML;239.000,00;0,00
NEEDLE NOVOFINE 32G TIP ETW;2.758,00;6,00
SANMOL DROP 15ML;19.369,00;0,00
DEGIROL LOZ@ 20;1.340,33;20,00
BEDAK SALICYL FRESH BTL 60 GR;10.622,00;2,00
ANTANGIN JRG+MADU SST ISI 12;3.316,96;36,00
MAMY POKO PANTS STD M@ 9;18.199,56;3,00
STERIMAR BLOCKED NOSE HYPERTONIQUE 100 ML;147.741,00;0,00
LARUTAN KAKI3 KALENG ALL 320 ML;5.500,00;4,00
HUKI COTTON BUDS BABY@100 DUS;5.328,00;0,00
HEROCYN BEDAK 150GR;17.538,00;2,00
COUNTERPAIN COOL 30GR;40.071,00;2,00
POLYSILANE TAB@40;1.107,22;144,00
MENSTRU HEAT;17.254,95;5,00
DETTOL LIQ 250ML;59.357,21;2,00
NEUROBION  TAB@250;2.323,00;0,00
VICKS F 44 DEWASA 100ML SYR;34.567,00;2,00
LISTERINE ZERO 100 ML;8.380,50;3,00
AVAIL PANTILINER HIJAU@20;32.960,00;4,00
LACTULAX SYR  60ML;53.849,00;0,00
HOT IN STRONG BOTOL 60 GR;15.762,00;0,00
CAP LANG M ANGIN 24ML;35.150,37;4,00
MARINOX HARVES COUGHT MIXT 150 ML;199.000,00;7,00
SALONPAS KOYO SUPER@ISI 10X2;12.261,00;0,00
TRIAMINIC BATUK & PILEK SYR;75.457,00;3,00
DERMATIX 5GR;114.330,00;1,00
SALONPAS JET SPRAY 118 ML;66.768,00;1,00
LACTACYD ODOR FRESH 60ML;29.887,86;0,00
BETADINE 10% SOL  30ML;27.012,96;4,00
PANADOL FLU & BATUK TABL;1.368,00;0,00
N.HEALTH COUGAR @12;235.000,00;0,00
BETADINE LOZ @8;16.051,00;0,00
EDORISAN ORAL DROPS;61.052,00;0,00
SIDO M TOLAK ANGIN + MADU 15 ML @5;3.618,88;100,00
ONEMED ALKOHOL 95% 300ML;16.799,85;1,00
MAMY POKO PANTS STD L@ 8;18.199,56;4,00
GOLDEN GINGER CANDY MILD @150G;31.535,00;0,00
KOOL FEVER ADULT @ 6 PCS;7.049,98;1,00
POLIDENT CLEANSER @72 TAB;1.557,70;54,00
ALCO PLUS SYR 100ML;72.150,00;2,00
TOLAK ANGIN CAIR BEBAS GULA @5;3.618,82;20,00
ANTIS SPRAY REFIL 30ML JRK NIP;11.661,00;0,00
SOYJOY ALMOND CHOCOLATE;8.378,00;2,00
TEMPRA DROP 15ML;46.065,00;0,00
FRESH CARE CITRUS;12.831,60;2,00
IMBOOST KIDS SYR 120ML;60.937,00;0,00
NEUROBION FORTE 5000MG @250;4.500,00;0,00
VICKS F 44 DEWASA 54ML SYR;20.794,00;2,00
KALPANAX KRIM 5GR;14.155,83;1,00
AVAIL NIGHT USE PINK@10;41.200,00;3,00
CAP LANG M GANDAPURA 60ML;11.932,00;1,00
DERMATIX ULTRA 9 GR;188.644,00;2,00
NORIT TAB SACH@12;16.100,55;0,00
BETADINE 10% SOL  15ML;15.815,28;3,00
ELLIPS HAIR VIT TREATMENT@6;11.300,02;38,00
VERMOX 500MG @1;18.548,00;0,00
SOFFEL LOT B.GERANIUM 60 GR;10.260,84;17,00
MEGAZING KPL@50;3.663,00;0,00
SANJIN WATERMELON FROST LOZ @12;16.650,00;0,00
SELSUN BLUE SUSP 120ML;47.332,00;0,00
BEXCE PLUS DROP 15ML;48.849,00;0,00
SIDO M TOLAK ANGIN FLU CAIR@5;3.618,88;70,00
PROTECAL SOLID EFF TUBE@10;30.250,00;0,00
MEDI-KLIN ACNE GEL 15GR;30.192,00;0,00
KOBELLON @ 400 MG;199.800,00;0,00
ALKOHOL 70% 300 ML  ONEMED;12.488,00;0,00
STERIMAR BABY NASAL HYGIENE ISOTONIC 50 ML;142.780,00;0,00
KOOL FEVER BABY @12;4.884,00;11,00
ACITRAL LIQ 120ML;49.395,00;0,00
DEMACOLIN TAB@100;509,00;70,00
ANTIS AROMA TIMUN 55 ML;12.040,17;9,00
FORMUNO TABLET @30;8.436,00;10,00
EMTRIX;235.542,00;1,00
PARAMEX FLU & BATUK TAB@100;628,00;48,00
IMBOOST FORCE KIDS 120ML;92.629,00;0,00
FRESH CARE GREAN TEA;12.831,60;3,00
AVAIL DAY USE BIRU;33.280,00;4,00
CALADINE LOT FRESH CALM @ 50 ML;17.871,00;0,00
SANMOL FORTE SYRUP 60 ML;33.244,50;2,00
HOT IN CREAM 60 ML BOTOL;15.762,00;0,00
BETADINE FEM WASH FOAM 100 ML;49.905,00;0,00
CAP KAPAK M ANGIN 10ML;15.450,00;0,00
DIAPET SYR 60ML;12.543,00;0,00
COUNTERPAIN COOL 60GR;71.595,00;2,00
MY BABY M TELON PLUS 90 ML LP;21.836,00;2,00
ROHTO COOL TM 10ML;16.733,25;4,00
BETADINE FEMINIME HYGIENE 60ML;35.092,65;0,00
SAFE CARE STRONG;15.150,39;0,00
PANADOL EXTRA KPL@100;1.219,89;420,00
OTTOPAN DROP 15ML;38.850,00;1,00
NEO KAOLANA SUSP 120ML;15.663,00;0,00
SENSODYNE HERBAL 100 GR;30.414,00;2,00
BENZOLAC 5% GEL  5GR;23.532,00;0,00
VITALONG C 500MG CAP@ 30;38.850,00;0,00
RIVANOL 0.1% 100ML CITO;3.499,83;0,00
KOOL FEVER ANAK @12;6.399,98;10,00
DERMATIX ULTRA 15 GR;273.706,00;0,00
BAYGON AER SPRAY 275ML LAVENDE;19.000,00;0,00
TIGER BALSEM RED 20GR;20.533,89;11,00
SIDO M TOLAK ANGIN FLU CAIR@12;3.618,88;384,00
BISOLVON EXTRA SYR 125ML;81.020,01;1,00
ANTIS AROMA JASMINE TEA 55 ML;12.040,17;10,00
PASEO SMART TRAVEL @50;2.500,00;0,00
PARAMEX NYERI OTOT@100;446,77;36,00
MALTOFER SYR 150ML;71.484,00;0,00
FRESH CARE LAVENDER;12.831,60;2,00
CALADINE GEL @ 50 ML;23.334,00;3,00
CAP KAPAK M ANGIN 14ML;20.800,00;0,00
URI-CRAN PLUS SASET @15;8.003,00;0,00
BIOGESIC 500MG TAB@100;452,75;104,00
BETADINE 1% GARGLE 100ML;23.898,30;2,00
PANADOL 500MG KPL@100;1.085,58;590,00
BETADINE 10% OINT 20GR;36.767,64;2,00
PURE BABY SOOTHING MOISTU CR @100GR;96.703,20;2,00
OMEPROS TAB@60;233.100,00;0,00
MINYAK TAWON (GG);222.888,00;1,00
NEUROBION FORTE 5000 TAB@ 30;4.588,37;30,00
REDOXON ZINC EFF@10 ORANGE;43.068,00;0,00
BENZOLAC 2.5% GEL  5GR;17.094,00;2,00
CAP GAJAH RIVANOL 300ML;10.464,00;0,00
VANTELIN ELBOW SUPPORT L;103.999,00;1,00
BYE BYE FEVER DEAWASA@10;11.088,01;7,00
CAP LANG MKP 120ML@12;38.199,54;3,00
CAP LANG MKP 15 ML;5.749,80;0,00
OXYCAN SPORT;55.500,00;0,00
TIGER BALSEM PUTIH 20GR;20.533,89;13,00
SELECTION KAPAS 75GR;12.487,50;2,00
ANDALAN INTIMATE WASH FRESH;6.000,00;0,00
BISOLVON EXTRA SYR  60ML;49.619,22;2,00
BETADINE 10% OINT  5GR;14.152,50;7,00
ROHTO DRY FRESH 7 ML;16.483,50;0,00
PARAMEX SK @120;676,00;0,00
OBH COMBI B.FLU ANAK60ML STRAW;16.428,00;0,00
PANADOL COLD & FLU BERDAHAK KPL@100;1.368,00;0,00
CALADINE BABY POWDER @ 55 GR;7.448,00;0,00
SANMOL SYR 60ML;18.648,00;1,00
CAP KAPAK M ANGIN 28ML;39.651,00;0,00
SENSODYNE ORIGINAL FLAVOUR 110GR;23.351,90;-1,00
ENZYPLEX CAP@100;2.710,62;0,00
THERMOMETER DIGITAL GP CARE;20.999,00;0,00
MICONAZOLE CR 10GR GKF;4.164,00;0,00
BETADINE 1% GARGLE 190ML;36.013,95;3,00
LELAP CAP@100;3.164,61;120,00
SILVER CLOVE BALM CENGKEH 20GR;24.720,00;12,00
PURE BABY DIAPER CREAM 100GR;71.484,00;0,00
NORIT LANG TAB@40;17.760,00;40,00
GPU LINIMENT JAHE 60ML;15.299,86;3,00
VANTELIN BACK SUPPORT L;325.000,00;0,00
BYE BYE FEVER FOR BABY@10;6.439,11;2,00
CAP LANG MKP  60ML@12;20.499,48;4,00
LACTACYD FEMIN HYG 150ML PINK;65.300,00;2,00
OXYCAN KLG;40.481,00;0,00
PROBIO C SERUM GEL 10ML;55.500,00;0,00
PANADOL CHEW TAB@100;1.455,21;50,00
PEDIALYTE 500ML BENING;39.516,00;0,00
ZAMBUK 25 GR;39.849,00;3,00
